id,title,mode,game,date,author,mission_url,download_url,direct_download_url,download_status
2093,Asteroid Alpha 12 Invasion,SP,D2,5/27/2023 15:59,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2093,https://sectorgame.com/dxma/download?m=2093,https://sectorgame.com/dxma/files/f/58/2093/asteroidalp.zip,success
2092,BOT BOWL,SP,D2,5/27/2023 15:57,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2092,https://sectorgame.com/dxma/download?m=2092,https://sectorgame.com/dxma/files/f/58/2092/botbowl.zip,success
2094,ZAPORO,SP,D2,5/27/2023 16:02,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2094,https://sectorgame.com/dxma/download?m=2094,https://sectorgame.com/dxma/files/f/58/2094/zaporo.zip,success
2091,Vicious Cyborg,SP,D2,5/27/2023 15:52,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2091,https://sectorgame.com/dxma/download?m=2091,https://sectorgame.com/dxma/files/f/58/2091/assimulate2.zip,success
2090,Assimilated by Bots,SP,D2,5/27/2023 15:50,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2090,https://sectorgame.com/dxma/download?m=2090,https://sectorgame.com/dxma/files/f/58/2090/assimulate.zip,success
2089,GOM,MP,D2,5/27/2023 15:46,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2089,https://sectorgame.com/dxma/download?m=2089,https://sectorgame.com/dxma/files/f/58/2089/gom.zip,success
2072,Abalyon 7: Resurrection!,SP,D2,5/25/2023 13:04,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2072,https://sectorgame.com/dxma/download?m=2072,https://sectorgame.com/dxma/files/f/58/2072/abalyon7.zip,success
2071,Abalyon 6: Vertigo Hive,SP,D2,5/25/2023 13:03,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2071,https://sectorgame.com/dxma/download?m=2071,https://sectorgame.com/dxma/files/f/58/2071/abalyon6.zip,success
2069,Abalyon 4: Space Dock,SP,D2,5/25/2023 13:00,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2069,https://sectorgame.com/dxma/download?m=2069,https://sectorgame.com/dxma/files/f/58/2069/abalyon4.zip,success
2068,Abalyon 3: Nuked Planet,SP,D2,5/25/2023 12:58,"Cameron ""Stryker"" Fultz",https://sectorgame.com/dxma/dxma/mission?m=2068,https://sectorgame.com/dxma/download?m=2068,https://sectorgame.com/dxma/files/f/58/2068/abalyon3.zip,success
